colonia,municipio,departamento,label_forza,alias_busqueda,fuente
COJUTEPEQUE,Cojutepeque,Cuscatlán,"COJUTEPEQUE, Cojutepeque, Cuscatlán",COJUTEPEQUE,semilla_distrito
ORATORIO DE CONCEPCIÓN,Cuscatlán Norte,Cuscatlán,"ORATORIO DE CONCEPCIÓN, Cuscatlán Norte, Cuscatlán",ORATORIO DE CONCEPCIÓN,semilla_municipio_nuevo
SAN BARTOLOMÉ PERULAPIA,Cuscatlán Norte,Cuscatlán,"SAN BARTOLOMÉ PERULAPIA, Cuscatlán Norte, Cuscatlán",SAN BARTOLOMÉ PERULAPIA,semilla_municipio_nuevo
SAN JOSÉ GUAYABAL,Cuscatlán Norte,Cuscatlán,"SAN JOSÉ GUAYABAL, Cuscatlán Norte, Cuscatlán",SAN JOSÉ GUAYABAL,semilla_municipio_nuevo
SAN PEDRO PERULAPÁN,Cuscatlán Norte,Cuscatlán,"SAN PEDRO PERULAPÁN, Cuscatlán Norte, Cuscatlán",SAN PEDRO PERULAPÁN,semilla_municipio_nuevo
SUCHITOTO,Cuscatlán Norte,Cuscatlán,"SUCHITOTO, Cuscatlán Norte, Cuscatlán",SUCHITOTO,semilla_municipio_nuevo
CANDELARIA,Cuscatlán Sur,Cuscatlán,"CANDELARIA, Cuscatlán Sur, Cuscatlán",CANDELARIA,semilla_municipio_nuevo
COJUTEPEQUE,Cuscatlán Sur,Cuscatlán,"COJUTEPEQUE, Cuscatlán Sur, Cuscatlán",COJUTEPEQUE,semilla_municipio_nuevo
EL CARMEN,Cuscatlán Sur,Cuscatlán,"EL CARMEN, Cuscatlán Sur, Cuscatlán",EL CARMEN,semilla_municipio_nuevo
EL ROSARIO,Cuscatlán Sur,Cuscatlán,"EL ROSARIO, Cuscatlán Sur, Cuscatlán",EL ROSARIO,semilla_municipio_nuevo
MONTE SAN JUAN,Cuscatlán Sur,Cuscatlán,"MONTE SAN JUAN, Cuscatlán Sur, Cuscatlán",MONTE SAN JUAN,semilla_municipio_nuevo
